year,countryCode,country,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,Qscore,total,GDP,population
2016,1,Armenia,AreaPerCap,0.17179018,0.399299776,0.112157463,0.04325407,0.029319892,0,3A,0.755821379,3917.379639,2936140
2016,1,Armenia,AreaTotHA,504400,1172400,329310,127000,86087.30316,0,3A,2219197.303,3917.379639,2936140
2016,1,Armenia,BiocapPerCap,0.312876556,0.263893146,0.093646239,0.015710519,0.053399482,0,3A,0.739525942,3917.379639,2936140
2016,1,Armenia,BiocapTotGHA,918649.3373,774827.1944,274958.4567,46128.28193,156788.3505,0,3A,2171351.621,3917.379639,2936140
2016,1,Armenia,Earths,0.328976587,0.133057699,0.151069074,0.00451701,0.033222217,0.506553449,3A,1.157396036,3917.379639,2936140
2016,1,Armenia,EFConsPerCap,0.528778059,0.213869299,0.242819747,0.007260382,0.053399482,0.814204902,3A,1.860331871,3917.379639,2936140
2016,1,Armenia,EFConsTotGHA,1552566.354,627950.1807,712952.746,21317.49647,156788.3505,2390619.492,3A,5462194.62,3917.379639,2936140
2016,1,Armenia,EFExportsPerCap,0.018509415,0.012148793,0.001267329,0.003047056,0,0.146929341,3A,0.181901935,3917.379639,2936140
2016,1,Armenia,EFExportsTotGHA,54346.23278,35670.5551,3721.055802,8946.583947,0,431405.1,3A,534089.5276,3917.379639,2936140
2016,1,Armenia,EFImportsPerCap,0.234410919,0.041144179,0.044158709,0.009857425,0,0.384224467,3A,0.713795698,3917.379639,2936140
2016,1,Armenia,EFImportsTotGHA,688263.2497,120805.0648,129656.1461,28942.77931,0,1128136.785,3A,2095804.025,3917.379639,2936140
2016,1,Armenia,EFProdPerCap,0.312876556,0.184873913,0.199928368,0.000450013,0.053399482,0.576909776,3A,1.328438108,3917.379639,2936140
2016,1,Armenia,EFProdTotGHA,918649.3373,542815.671,587017.6558,1321.301103,156788.3505,1693887.807,3A,3900480.123,3917.379639,2936140
2016,1,Armenia,GDP,,,,,,,,3917.379639,3917.379639,2936140
2016,1,Armenia,HDI,,,,,,,,0.765999973,571.0737915,2936140
2016,1,Armenia,Population,,,,,,,,2936140,571.0737915,2936140
2016,2,Afghanistan,AreaPerCap,0.223553684,0.847864794,0.034153124,0,0.04345533,0,3A,1.149026933,571.0737915,35383000
2016,2,Afghanistan,AreaTotHA,7910000,30000000,1208440,0,1537579.956,0,3A,40656019.96,571.0737915,35383000
2016,2,Afghanistan,BiocapPerCap,0.184643403,0.16513484,0.015166144,0,0.035891782,0,3A,0.40083617,571.0737915,35383000
2016,2,Afghanistan,BiocapTotGHA,6533237.544,5842966.059,536623.6592,0,1269958.925,0,3A,14182786.19,571.0737915,35383000
2016,2,Afghanistan,Earths,0.185145683,0.106119499,0.039072175,0.000183271,0.02232989,0.082816498,3A,0.435667017,571.0737915,35383000
2016,2,Afghanistan,EFConsPerCap,0.297592531,0.170570385,0.062802369,0.000294579,0.035891782,0.133114479,3A,0.700266124,571.0737915,35383000
2016,2,Afghanistan,EFConsTotGHA,10529716.52,6035291.92,2222136.214,10423.08755,1269958.925,4709989.617,3A,24777516.28,571.0737915,35383000
2016,2,Afghanistan,EFExportsPerCap,0.009183206,0.001572553,0.000211573,0,0,0.002622187,3A,0.013589518,571.0737915,35383000
2016,2,Afghanistan,EFExportsTotGHA,324929.3727,55641.63182,7486.085223,0,0,92780.83182,3A,480837.9215,571.0737915,35383000
