year,countryCode,country,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,Qscore,value,GDP,population
2017,1,Armenia,AreaPerCap,0.171183681,0.397991023,0.111756694,0.043127014,0.029319882,0,3A,0.753378294,4198.794922,2944790
2017,1,Armenia,AreaTotHA,504100,1172000,329100,127000,86340.89661,0,3A,2218540.897,4198.794922,2944790
2017,1,Armenia,BiocapPerCap,0.216742641,0.26364756,0.09308765,0.015701255,0.037123099,0,3A,0.626302205,4198.794922,2944790
2017,1,Armenia,BiocapTotGHA,638261.5705,776386.7071,274123.5853,46236.90052,109319.7307,0,3A,1844328.494,4198.794922,2944790
2017,1,Armenia,Earths,0.28383934,0.125492236,0.161637345,0.002654981,0.023108353,0.531224773,3A,1.127957027,4198.794922,2944790
2017,1,Armenia,EFConsPerCap,0.455982129,0.201600725,0.259667107,0.004265172,0.037123099,0.853401796,3A,1.812040028,4198.794922,2944790
2017,1,Armenia,EFConsTotGHA,1342771.63,593671.8064,764665.1114,12560.03722,109319.7307,2513089.109,3A,5336077.425,4198.794922,2944790
2017,1,Armenia,EFExportsPerCap,0.022011785,0.019921711,0.001544102,0.008622386,0,0.155082447,3A,0.207182432,4198.794922,2944790
2017,1,Armenia,EFExportsTotGHA,64820.08617,58665.25748,4547.056097,25391.11729,0,456685.2449,3A,610108.7619,4198.794922,2944790
2017,1,Armenia,EFImportsPerCap,0.261251273,0.043529613,0.062372182,0.012843575,0,0.384869503,3A,0.764866146,4198.794922,2944790
2017,1,Armenia,EFImportsTotGHA,769330.146,128185.5718,183672.9799,37821.63165,0,1133359.879,3A,2252370.209,4198.794922,2944790
2017,1,Armenia,EFProdPerCap,0.216742641,0.177992823,0.198839027,4.40E-05,0.037123099,0.62361474,3A,1.254356314,4198.794922,2944790
2017,1,Armenia,EFProdTotGHA,638261.5705,524151.4921,585539.1875,129.5228619,109319.7307,1836414.474,3A,3693815.978,4198.794922,2944790
2017,1,Armenia,GDP,,,,,,,,4198.794922,4198.794922,2944790
2017,1,Armenia,HDI,,,,,,,,0.768999994,571.5424805,2944790
2017,1,Armenia,Population,,,,,,,,2944790,571.5424805,2944790
2017,2,Afghanistan,AreaPerCap,0.217929741,0.826535047,0.033293934,0,0.043455356,0,3A,1.121214077,571.5424805,36296104
2017,2,Afghanistan,AreaTotHA,7910000,30000000,1208440,0,1577260.01,0,3A,40695700.01,571.5424805,36296104
2017,2,Afghanistan,BiocapPerCap,0.157514817,0.161359603,0.014749123,0,0.031408574,0,3A,0.365032117,571.5424805,36296104
2017,2,Afghanistan,BiocapTotGHA,5717173.795,5856724.533,535335.6614,0,1140008.799,0,3A,13249242.79,571.5424805,36296104
2017,2,Afghanistan,Earths,0.179056912,0.104675961,0.039420784,0.00017775,0.019551181,0.088626349,3A,0.431508936,571.5424805,36296104
2017,2,Afghanistan,EFConsPerCap,0.287651288,0.168159803,0.063328687,0.000285552,0.031408574,0.142376427,3A,0.693210331,571.5424805,36296104
2017,2,Afghanistan,EFConsTotGHA,10440620.35,6103545.29,2298584.462,10364.43333,1140008.799,5167709.25,3A,25160832.59,571.5424805,36296104
2017,2,Afghanistan,EFExportsPerCap,0.012597099,0.001361249,7.45E-05,0,0,0.002738326,3A,0.016771185,571.5424805,36296104
