,country,UNRegion,year,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total,GDP,population,Unnamed: 14,countryCode
88860,Africa,,2015,BiocapPerCap,0.371652315,0.340495952,0.364118588,0.066924144,0.049930937,0.0,1.193121936,2006.698173,,,2000.0
88861,Africa,,2015,BiocapTotGHA,385023099.7,352745837.4,377218335.1,69331846.61,51727282.05,0.0,1236046401.0,2006.698173,,,2000.0
88862,Africa,,2015,EFConsPerCap,0.402987381,0.184380144,0.284826667,0.048988851,0.049930937,0.447456226,1.418570206,2006.698173,,,2000.0
88863,Africa,,2015,EFConsTotGHA,417485494.6,191013514.1,295073760.2,50751302.79,51727282.05,463554177.6,1469605531.0,2006.698173,,,2000.0
88864,Africa,,2015,EFExportsPerCap,0.055715947,0.01155281,0.010918343,0.004247028,0.0,0.079551159,0.161985288,2006.698173,,,2000.0
88865,Africa,,2015,EFExportsTotGHA,57720417.11,11968441.12,11311147.73,4399821.995,0.0,82413138.98,167812966.9,2006.698173,,,2000.0
88866,Africa,,2015,EFImportsPerCap,0.087051013,0.010381936,0.013302266,0.021056475,0.0,0.220699388,0.352491077,2006.698173,,,2000.0
88867,Africa,,2015,EFImportsTotGHA,90182811.96,10755442.28,13780835.78,21814015.25,0.0,228639401.0,365172506.2,2006.698173,,,2000.0
88868,Africa,,2015,EFProdPerCap,0.371652315,0.185551019,0.282442744,0.032179404,0.049930937,0.306307997,1.228064416,2006.698173,,,2000.0
88869,Africa,,2015,EFProdTotGHA,385023099.7,192226512.9,292604072.2,33337109.54,51727282.05,317327915.7,1272245992.0,2006.698173,,,2000.0
88870,Asia,,2015,BiocapPerCap,0.385592489,0.061859871,0.151448176,0.080625279,0.071469682,0.0,0.750995498,5936.591876,,,2001.0
88871,Asia,,2015,BiocapTotGHA,1649604795.0,264642967.5,647911055.7,344923334.6,305754738.3,0.0,3212836891.0,5936.591876,,,2001.0
88872,Asia,,2015,EFConsPerCap,0.455816118,0.073808812,0.167726178,0.077664477,0.071469682,1.461073327,2.307558593,5936.591876,,,2001.0
88873,Asia,,2015,EFConsTotGHA,1950028784.0,315761776.4,717550043.7,332256713.4,305754738.3,6250623732.0,9871975789.0,5936.591876,,,2001.0
88874,Asia,,2015,EFExportsPerCap,0.056842985,0.00392995,0.023283341,0.019100709,0.0,0.297972461,0.401129445,5936.591876,,,2001.0
88875,Asia,,2015,EFExportsTotGHA,243180203.5,16812733.38,99608555.61,81714819.52,0.0,1274757197.0,1716073509.0,5936.591876,,,2001.0
88876,Asia,,2015,EFImportsPerCap,0.127066613,0.030094259,0.061345477,0.023056822,0.0,0.324815497,0.566378668,5936.591876,,,2001.0
88877,Asia,,2015,EFImportsTotGHA,543604193.4,128746369.6,262442332.2,98639485.71,0.0,1389594498.0,2423026879.0,5936.591876,,,2001.0
88878,Asia,,2015,EFProdPerCap,0.385592489,0.047644503,0.129664043,0.073708363,0.071469682,1.434230291,2.142309371,5936.591876,,,2001.0
88879,Asia,,2015,EFProdTotGHA,1649604795.0,203828140.2,554716267.2,315332047.2,305754738.3,6135786431.0,9165022419.0,5936.591876,,,2001.0
88880,Europe,,2015,BiocapPerCap,0.769418331,0.155005144,1.592809421,0.435984406,0.098009445,0.0,3.051226747,48713.30111,,,2002.0
88881,Europe,,2015,BiocapTotGHA,519605263.5,104678411.6,1075659529.0,294429939.4,66187951.73,0.0,2060561095.0,48713.30111,,,2002.0
88882,Europe,,2015,EFConsPerCap,0.783296082,0.200810603,0.57255113,0.14357649,0.098009445,2.869791331,4.668035082,48713.30111,,,2002.0
88883,Europe,,2015,EFConsTotGHA,528977217.2,135611854.3,386656476.4,96960388.36,66187951.73,1938033735.0,3152427623.0,48713.30111,,,2002.0
88884,Europe,,2015,EFExportsPerCap,0.545172734,0.054448788,0.506345686,0.156851082,0.0,1.556197503,2.819015793,48713.30111,,,2002.0
88885,Europe,,2015,EFExportsTotGHA,368167238.8,36770474.28,341946471.9,105925014.4,0.0,1050934689.0,1903743888.0,48713.30111,,,2002.0
88886,Europe,,2015,EFImportsPerCap,0.559050486,0.170756175,0.412136388,0.137538718,0.0,1.880377851,3.159859618,48713.30111,,,2002.0
88887,Europe,,2015,EFImportsTotGHA,377539192.5,115315432.0,278324843.9,92882946.69,0.0,1269860868.0,2133923283.0,48713.30111,,,2002.0
88888,Europe,,2015,EFProdPerCap,0.769418331,0.084503217,0.666760427,0.162888854,0.098009445,2.545610983,4.327191257,48713.30111,,,2002.0
88889,Europe,,2015,EFProdTotGHA,519605263.5,57066896.55,450278104.4,110002456.1,66187951.73,1719107556.0,2922248228.0,48713.30111,,,2002.0
88890,Latin America and the Caribbean,,2015,BiocapPerCap,0.791299402,0.740355482,3.376766518,0.288618161,0.086758783,0.0,5.283798346,9228.115732,,,2003.0
88891,Latin America and the Caribbean,,2015,BiocapTotGHA,467969529.4,437841612.9,1996998651.0,170686979.5,51308603.13,0.0,3124805376.0,9228.115732,,,2003.0
88892,Latin America and the Caribbean,,2015,EFConsPerCap,0.55604268,0.527223943,0.342644747,0.083775702,0.086758783,1.002707685,2.59915354,9228.115732,,,2003.0
88893,Latin America and the Caribbean,,2015,EFConsTotGHA,328840171.5,311796950.5,202637965.9,49544427.64,51308603.13,592995068.8,1537123187.0,9228.115732,,,2003.0
88894,Latin America and the Caribbean,,2015,EFExportsPerCap,0.392088586,0.109366433,0.133510583,0.032392668,0.0,0.310049785,0.977408055,9228.115732,,,2003.0
88895,Latin America and the Caribbean,,2015,EFExportsTotGHA,231878743.5,64678626.03,78957325.81,19156821.94,0.0,183361508.6,578033025.9,9228.115732,,,2003.0
88896,Latin America and the Caribbean,,2015,EFImportsPerCap,0.156831864,0.030632729,0.054815668,0.018499953,0.0,0.361468717,0.622248931,9228.115732,,,2003.0
88897,Latin America and the Caribbean,,2015,EFImportsTotGHA,92749385.61,18116004.58,32417644.31,10940756.69,0.0,213770344.2,367994135.4,9228.115732,,,2003.0
88898,Latin America and the Caribbean,,2015,EFProdPerCap,0.791299402,0.605957647,0.421339662,0.097668418,0.086758783,0.951288753,2.954312665,9228.115732,,,2003.0
88899,Latin America and the Caribbean,,2015,EFProdTotGHA,467969529.4,358359571.9,249177647.4,57760492.9,51308603.13,562586233.2,1747162078.0,9228.115732,,,2003.0
88900,North America,,2015,BiocapPerCap,1.400337201,0.264296942,2.241229286,0.625075163,0.073085406,0.0,4.604023997,51929.51992,,,2004.0
88901,North America,,2015,BiocapTotGHA,499786950.9,94328824.91,799905301.9,223092273.5,26084525.96,0.0,1643197877.0,51929.51992,,,2004.0
88902,North America,,2015,EFConsPerCap,0.950886692,0.316044336,0.861228181,0.129047294,0.073085406,5.608295431,7.938587339,51929.51992,,,2004.0
88903,North America,,2015,EFConsTotGHA,339375944.6,112797714.0,307376399.3,46057587.77,26084525.96,2001627088.0,2833319260.0,51929.51992,,,2004.0
88904,North America,,2015,EFExportsPerCap,0.689548235,0.052339069,0.404045725,0.043042492,0.0,0.838221513,2.027197033,51929.51992,,,2004.0
88905,North America,,2015,EFExportsTotGHA,246103016.9,18680060.56,144205824.8,15362068.38,0.0,299165210.9,723516181.5,51929.51992,,,2004.0
88906,North America,,2015,EFImportsPerCap,0.240097726,0.104086463,0.22320231,0.063519754,0.0,1.173827471,1.804733725,51929.51992,,,2004.0
88907,North America,,2015,EFImportsTotGHA,85692010.63,37148949.66,79661956.99,22670499.92,0.0,418944560.3,644117977.5,51929.51992,,,2004.0
88908,North America,,2015,EFProdPerCap,1.400337201,0.264296942,1.042071596,0.108570031,0.073085406,5.272689472,8.161050647,51929.51992,,,2004.0
88909,North America,,2015,EFProdTotGHA,499786950.9,94328824.91,371920267.1,38749156.23,26084525.96,1881847739.0,2912717464.0,51929.51992,,,2004.0
88910,Oceania,,2015,BiocapPerCap,2.032675288,4.455367935,2.015508812,2.968483418,0.042295955,0.0,11.51433141,39127.88935,,,2005.0
88911,Oceania,,2015,BiocapTotGHA,50412637.96,110498146.0,49986890.02,73621734.24,1048987.341,0.0,285568395.6,39127.88935,,,2005.0
88912,Oceania,,2015,EFConsPerCap,0.579049284,0.334670705,0.860163199,0.140885386,0.042295955,4.397081259,6.354145789,39127.88935,,,2005.0
88913,Oceania,,2015,EFConsTotGHA,14361074.84,8300210.662,21333016.75,3494116.36,1048987.341,109052570.7,157589976.7,39127.88935,,,2005.0
88914,Oceania,,2015,EFExportsPerCap,1.676104497,2.191518141,0.221806773,0.028525998,0.0,2.435414166,6.553369575,39127.88935,,,2005.0
88915,Oceania,,2015,EFExportsTotGHA,41569280.5,54352119.75,5501057.944,707476.9009,0.0,60401016.02,162530951.1,39127.88935,,,2005.0
88916,Oceania,,2015,EFImportsPerCap,0.222478494,0.039770687,0.22789995,0.112166715,0.0,1.574719902,2.177035748,39127.88935,,,2005.0
88917,Oceania,,2015,EFImportsTotGHA,5517717.384,986357.8477,5652175.612,2781860.943,0.0,39054828.29,53992940.07,39127.88935,,,2005.0
88918,Oceania,,2015,EFProdPerCap,2.032675288,2.48641816,0.854070022,0.057244669,0.042295955,5.257775522,10.73047962,39127.88935,,,2005.0
88919,Oceania,,2015,EFProdTotGHA,50412637.96,61665972.56,21181899.08,1419732.318,1048987.341,130398758.5,266127987.7,39127.88935,,,2005.0
88920,Australia and New Zealand,,2015,BiocapPerCap,2.099645705,4.613780573,2.037224763,3.052479309,0.042810652,0.0,11.845941,52123.78749,,,1000.0
88921,Australia and New Zealand,,2015,BiocapTotGHA,50249770.84,110419303.6,48755881.65,73053461.06,1024565.939,0.0,283502983.1,52123.78749,,,1000.0
88922,Australia and New Zealand,,2015,EFConsPerCap,0.587205212,0.340487329,0.866492554,0.113867397,0.042810652,4.529012943,6.479876088,52123.78749,,,1000.0
88923,Australia and New Zealand,,2015,EFConsTotGHA,14053288.73,8148713.009,20737333.05,2725131.478,1024565.939,108390602.3,155079634.5,52123.78749,,,1000.0
88924,Australia and New Zealand,,2015,EFExportsPerCap,1.732315349,2.270784884,0.229033397,0.018413173,0.0,2.513376597,6.7639234,52123.78749,,,1000.0
88925,Australia and New Zealand,,2015,EFExportsTotGHA,41458637.1,54345559.24,5481341.762,440673.2721,0.0,60151385.4,161877596.8,52123.78749,,,1000.0
88926,Australia and New Zealand,,2015,EFImportsPerCap,0.219874855,0.037904194,0.234384386,0.091409712,0.0,1.609301793,2.19287494,52123.78749,,,1000.0
88927,Australia and New Zealand,,2015,EFImportsTotGHA,5262154.978,907142.1124,5609404.306,2187662.939,0.0,38514615.16,52480979.49,52123.78749,,,1000.0
88928,Australia and New Zealand,,2015,EFProdPerCap,2.099645705,2.57336802,0.861141565,0.040870858,0.042810652,5.433087747,11.05092455,52123.78749,,,1000.0
88929,Australia and New Zealand,,2015,EFProdTotGHA,50249770.84,61587130.14,20609270.51,978141.8117,1024565.939,130027372.5,264476251.8,52123.78749,,,1000.0
88930,Caribbean,,2015,BiocapPerCap,0.23064093,0.068262757,0.15673065,0.156234214,0.036127805,0.0,0.647996356,5467.229943,,,1001.0
88931,Caribbean,,2015,BiocapTotGHA,8310379.271,2459621.545,5647268.002,5629380.584,1301745.358,0.0,23348394.76,5467.229943,,,1001.0
88932,Caribbean,,2015,EFConsPerCap,0.419129938,0.100349685,0.11318061,0.033100683,0.036127805,0.754263834,1.456152555,5467.229943,,,1001.0
88933,Caribbean,,2015,EFConsTotGHA,15101954.11,3615767.333,4078087.075,1192673.092,1301745.358,27177390.1,52467617.07,5467.229943,,,1001.0
88934,Caribbean,,2015,EFExportsPerCap,0.041535052,0.000528001,0.003083369,0.002273296,0.0,0.125252964,0.172672682,5467.229943,,,1001.0
88935,Caribbean,,2015,EFExportsTotGHA,1496577.53,19024.76159,111098.9391,81910.66265,0.0,4513074.226,6221686.12,5467.229943,,,1001.0
88936,Caribbean,,2015,EFImportsPerCap,0.230024059,0.032614929,0.044558892,0.025288412,0.0,0.257853682,0.590339975,5467.229943,,,1001.0
88937,Caribbean,,2015,EFImportsTotGHA,8288152.373,1175170.55,1605531.572,911183.8855,0.0,9290900.332,21270938.71,5467.229943,,,1001.0
88938,Caribbean,,2015,EFProdPerCap,0.23064093,0.068262757,0.071705086,0.010085567,0.036127805,0.621663117,1.038485262,5467.229943,,,1001.0
88939,Caribbean,,2015,EFProdTotGHA,8310379.271,2459621.545,2583654.442,363399.8693,1301745.358,22399564.0,37418364.48,5467.229943,,,1001.0
88940,Central America,,2015,BiocapPerCap,0.315205397,0.239854382,0.473816189,0.149283444,0.050339394,0.0,1.228498806,8378.267569,,,1002.0
88941,Central America,,2015,BiocapTotGHA,50267396.42,38250789.61,75561860.45,23806984.63,8027877.403,0.0,195914908.5,8378.267569,,,1002.0
88942,Central America,,2015,EFConsPerCap,0.468045476,0.232642848,0.310475783,0.084394532,0.050339394,1.192628908,2.338526942,8378.267569,,,1002.0
88943,Central America,,2015,EFConsTotGHA,74641575.76,37100729.87,49513140.99,13458822.17,8027877.403,190194554.8,372936701.0,8378.267569,,,1002.0
88944,Central America,,2015,EFExportsPerCap,0.099264672,0.048437862,0.008409268,0.021123073,0.0,0.382733148,0.559968024,8378.267569,,,1002.0
88945,Central America,,2015,EFExportsTotGHA,15830238.59,7724630.463,1341068.475,3368603.109,0.0,61036387.96,89300928.6,8378.267569,,,1002.0
88946,Central America,,2015,EFImportsPerCap,0.252104752,0.041226328,0.106925567,0.020675601,0.0,0.484780774,0.905713022,8378.267569,,,1002.0
88947,Central America,,2015,EFImportsTotGHA,40204417.93,6574570.724,17051960.1,3297242.456,0.0,77310438.24,144438629.5,8378.267569,,,1002.0
88948,Central America,,2015,EFProdPerCap,0.315205397,0.239854382,0.211959484,0.084842004,0.050339394,1.090581282,1.992781944,8378.267569,,,1002.0
88949,Central America,,2015,EFProdTotGHA,50267396.42,38250789.61,33802249.36,13530182.82,8027877.403,173920504.5,317799000.1,8378.267569,,,1002.0
88950,Central Asia,,2015,BiocapPerCap,0.754232306,0.859848746,0.105793269,0.034657332,0.067951487,0.0,1.82248314,4438.769984,,,1003.0
88951,Central Asia,,2015,BiocapTotGHA,40778995.14,46489347.59,5719913.023,1873814.143,3673925.557,0.0,98535995.45,4438.769984,,,1003.0
88952,Central Asia,,2015,EFConsPerCap,0.681594871,0.202984917,0.077265704,0.013188569,0.067951487,2.108996867,3.151982415,4438.769984,,,1003.0
88953,Central Asia,,2015,EFConsTotGHA,36851714.92,10974763.16,4177516.341,713064.9323,3673925.557,114026901.6,170417886.5,4438.769984,,,1003.0
88954,Central Asia,,2015,EFExportsPerCap,0.190555879,0.006813707,0.000504307,0.003227555,0.0,0.346109508,0.547210956,4438.769984,,,1003.0
88955,Central Asia,,2015,EFExportsTotGHA,10302763.73,368395.9634,27266.30642,174503.8397,0.0,18713064.71,29585994.56,4438.769984,,,1003.0
88956,Central Asia,,2015,EFImportsPerCap,0.117918444,0.019297678,0.074502418,0.009131943,0.0,0.21562005,0.436470532,4438.769984,,,1003.0
88957,Central Asia,,2015,EFImportsTotGHA,6375483.521,1043365.45,4028114.019,493735.756,0.0,11657905.51,23598604.26,4438.769984,,,1003.0
88958,Central Asia,,2015,EFProdPerCap,0.754232306,0.190500946,0.003267594,0.007284181,0.067951487,2.239486325,3.262722839,4438.769984,,,1003.0
88959,Central Asia,,2015,EFProdTotGHA,40778995.14,10299793.67,176668.6278,393833.0159,3673925.557,121082060.8,176405276.8,4438.769984,,,1003.0
88960,Eastern Africa,,2015,BiocapPerCap,0.311362136,0.312512509,0.172838045,0.066285184,0.05381935,0.0,0.916817223,786.7739605,,,1004.0
88961,Eastern Africa,,2015,BiocapTotGHA,116700372.0,117131538.7,64780722.46,24844079.51,20171811.06,0.0,343628523.7,786.7739605,,,1004.0
88962,Eastern Africa,,2015,EFConsPerCap,0.322260942,0.175965914,0.339331123,0.031548275,0.05381935,0.139470521,1.062396125,786.7739605,,,1004.0
88963,Eastern Africa,,2015,EFConsTotGHA,120785309.1,65953066.38,127183314.1,11824480.18,20171811.06,52274377.25,398192358.1,786.7739605,,,1004.0
88964,Eastern Africa,,2015,EFExportsPerCap,0.036273681,0.006959598,0.00338811,0.002399285,0.0,0.017978303,0.066998977,786.7739605,,,1004.0
88965,Eastern Africa,,2015,EFExportsTotGHA,13595590.4,2608498.353,1269883.775,899266.1169,0.0,6738374.575,25111613.22,786.7739605,,,1004.0
88966,Eastern Africa,,2015,EFImportsPerCap,0.047172487,0.002750454,0.006422109,0.004813254,0.0,0.08906421,0.150222514,786.7739605,,,1004.0
88967,Eastern Africa,,2015,EFImportsTotGHA,17680527.47,1030886.339,2407044.607,1804035.921,0.0,33381793.38,56304287.72,786.7739605,,,1004.0
88968,Eastern Africa,,2015,EFProdPerCap,0.311362136,0.180175058,0.336297124,0.029134306,0.05381935,0.068384615,0.979172588,786.7739605,,,1004.0
88969,Eastern Africa,,2015,EFProdTotGHA,116700372.0,67530678.4,126046153.3,10919710.37,20171811.06,25630958.45,366999683.6,786.7739605,,,1004.0
88970,Eastern Asia,,2015,BiocapPerCap,0.414183329,0.101963713,0.237584166,0.057852976,0.100594692,0.0,0.912178877,10316.92509,,,1005.0
