,country,UNRegion,year,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total,GDP,population,Unnamed: 14,countryCode
21520,Egypt,Africa,1961,BiocapPerCap,,,,,,,0.422902064,641.132,27810000.0,,59.0
21521,Egypt,Africa,1961,BiocapTotGHA,,,,,,,11760906.41,641.132,27810000.0,,59.0
21522,Egypt,Africa,1961,EFConsPerCap,,,,,,,0.801617993,641.132,27810000.0,,59.0
21523,Egypt,Africa,1961,EFConsTotGHA,,,,,,,22292996.39,641.132,27810000.0,,59.0
21524,Egypt,Africa,1961,EFExportsPerCap,,,,,,,0.072586502,641.132,27810000.0,,59.0
21525,Egypt,Africa,1961,EFExportsTotGHA,,,,,,,2018630.622,641.132,27810000.0,,59.0
21526,Egypt,Africa,1961,EFImportsPerCap,,,,,,,0.166071613,641.132,27810000.0,,59.0
21527,Egypt,Africa,1961,EFImportsTotGHA,,,,,,,4618451.549,641.132,27810000.0,,59.0
21528,Egypt,Africa,1961,EFProdPerCap,,,,,,,0.708132882,641.132,27810000.0,,59.0
21529,Egypt,Africa,1961,EFProdTotGHA,,,,,,,19693175.46,641.132,27810000.0,,59.0
21530,Egypt,Africa,1962,BiocapPerCap,,,,,,,0.500544118,666.792,28561000.0,,59.0
21531,Egypt,Africa,1962,BiocapTotGHA,,,,,,,14295889.99,666.792,28561000.0,,59.0
21532,Egypt,Africa,1962,EFConsPerCap,,,,,,,0.912063938,666.792,28561000.0,,59.0
21533,Egypt,Africa,1962,EFConsTotGHA,,,,,,,26049183.79,666.792,28561000.0,,59.0
21534,Egypt,Africa,1962,EFExportsPerCap,,,,,,,0.062553831,666.792,28561000.0,,59.0
21535,Egypt,Africa,1962,EFExportsTotGHA,,,,,,,1786581.157,666.792,28561000.0,,59.0
21536,Egypt,Africa,1962,EFImportsPerCap,,,,,,,0.173917877,666.792,28561000.0,,59.0
21537,Egypt,Africa,1962,EFImportsTotGHA,,,,,,,4967216.173,666.792,28561000.0,,59.0
21538,Egypt,Africa,1962,EFProdPerCap,,,,,,,0.800699892,666.792,28561000.0,,59.0
21539,Egypt,Africa,1962,EFProdTotGHA,,,,,,,22868548.78,666.792,28561000.0,,59.0
21540,Egypt,Africa,1963,BiocapPerCap,,,,,,,0.480240194,707.925,29323000.0,,59.0
21541,Egypt,Africa,1963,BiocapTotGHA,,,,,,,14081938.76,707.925,29323000.0,,59.0
21542,Egypt,Africa,1963,EFConsPerCap,,,,,,,0.949029326,707.925,29323000.0,,59.0
21543,Egypt,Africa,1963,EFConsTotGHA,,,,,,,27828101.49,707.925,29323000.0,,59.0
21544,Egypt,Africa,1963,EFExportsPerCap,,,,,,,0.076252202,707.925,29323000.0,,59.0
