,country,UNRegion,year,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total,GDP,population,Unnamed: 14,countryCode
0,Sri Lanka,Asia,1961,BiocapPerCap,0.240462917,0.018203813,0.093166638,0.148335855,0.034314434,0.0,0.534483658,582.661,10129000.0,,38.0
1,Sri Lanka,Asia,1961,BiocapTotGHA,2435672.841,184388.2376,943694.156,1502508.653,347574.3249,0.0,5413838.212,582.661,10129000.0,,38.0
2,Sri Lanka,Asia,1961,EFConsPerCap,0.24478969,0.022768205,0.259926306,0.048369178,0.034314434,0.193162732,0.803330545,582.661,10129000.0,,38.0
3,Sri Lanka,Asia,1961,EFConsTotGHA,2479499.154,230621.414,2632819.446,489936.223,347574.3249,1956564.55,8137015.112,582.661,10129000.0,,38.0
4,Sri Lanka,Asia,1961,EFExportsPerCap,0.104716244,0.000120062,0.000841868,0.001229215,0.0,0.021420772,0.12832816,582.661,10129000.0,,38.0
5,Sri Lanka,Asia,1961,EFExportsTotGHA,1060681.262,1216.116133,8527.365411,12450.83908,0.0,216973.1355,1299848.719,582.661,10129000.0,,38.0
6,Sri Lanka,Asia,1961,EFImportsPerCap,0.109043016,0.004684453,0.00840318,0.010029895,0.0,0.10492725,0.237087794,582.661,10129000.0,,38.0
7,Sri Lanka,Asia,1961,EFImportsTotGHA,1104507.575,47449.29253,85116.64313,101593.8069,0.0,1062818.569,2401485.887,582.661,10129000.0,,38.0
8,Sri Lanka,Asia,1961,EFProdPerCap,0.240462917,0.018203813,0.252364995,0.039568498,0.034314434,0.109656254,0.694570911,582.661,10129000.0,,38.0
9,Sri Lanka,Asia,1961,EFProdTotGHA,2435672.841,184388.2376,2556230.168,400793.2551,347574.3249,1110719.117,7035377.943,582.661,10129000.0,,38.0
10,Sri Lanka,Asia,1962,BiocapPerCap,0.256408622,0.017745817,0.09107695,0.144603818,0.037839813,0.0,0.54767502,588.977,10366000.0,,38.0
11,Sri Lanka,Asia,1962,BiocapTotGHA,2657983.112,183956.6892,944121.8964,1498992.131,392255.0753,0.0,5677308.904,588.977,10366000.0,,38.0
12,Sri Lanka,Asia,1962,EFConsPerCap,0.237319493,0.022196156,0.258541032,0.063526552,0.037839813,0.202472705,0.82189575,588.977,10366000.0,,38.0
13,Sri Lanka,Asia,1962,EFConsTotGHA,2460101.379,230089.7923,2680088.092,658528.9579,392255.0753,2098872.593,8519935.889,588.977,10366000.0,,38.0
14,Sri Lanka,Asia,1962,EFExportsPerCap,0.115662706,0.000186474,0.000962474,0.001376496,0.0,0.020531685,0.138719835,588.977,10366000.0,,38.0
15,Sri Lanka,Asia,1962,EFExportsTotGHA,1198982.767,1933.0253,9977.201817,14269.02987,0.0,212835.5521,1437997.576,588.977,10366000.0,,38.0
16,Sri Lanka,Asia,1962,EFImportsPerCap,0.096573577,0.004636813,0.009931465,0.009620637,0.0,0.10454429,0.225306782,588.977,10366000.0,,38.0
17,Sri Lanka,Asia,1962,EFImportsTotGHA,1001101.034,48066.12847,102951.5581,99729.44816,0.0,1083727.038,2335575.207,588.977,10366000.0,,38.0
18,Sri Lanka,Asia,1962,EFProdPerCap,0.256408622,0.017745817,0.249572041,0.055282411,0.037839813,0.1184601,0.735308803,588.977,10366000.0,,38.0
19,Sri Lanka,Asia,1962,EFProdTotGHA,2657983.112,183956.6892,2587113.736,573068.5396,392255.0753,1227981.107,7622358.258,588.977,10366000.0,,38.0
20,Sri Lanka,Asia,1963,BiocapPerCap,0.247696098,0.017281544,0.08891606,0.140820642,0.030366221,0.0,0.525080566,595.869,10609000.0,,38.0
21,Sri Lanka,Asia,1963,BiocapTotGHA,2627733.647,183334.7231,943283.8234,1493923.969,322146.1382,0.0,5570422.301,595.869,10609000.0,,38.0
22,Sri Lanka,Asia,1963,EFConsPerCap,0.232004265,0.021435107,0.253297442,0.074675352,0.030366221,0.204623218,0.816401605,595.869,10609000.0,,38.0
23,Sri Lanka,Asia,1963,EFConsTotGHA,2461263.687,227398.6283,2687156.619,792208.424,322146.1382,2170786.374,8660959.871,595.869,10609000.0,,38.0
