,country,UNRegion,year,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total,GDP,population,Unnamed: 14,countryCode
0,Yugoslav SFR,Europe,1961,BiocapPerCap,,,,,,,2.031358949,,18715000.0,,
1,Yugoslav SFR,Europe,1961,BiocapTotGHA,,,,,,,38017493.73,,18715000.0,,
2,Yugoslav SFR,Europe,1961,EFConsPerCap,,,,,,,2.152384227,,18715000.0,,
3,Yugoslav SFR,Europe,1961,EFConsTotGHA,,,,,,,40282518.21,,18715000.0,,
4,Yugoslav SFR,Europe,1961,EFExportsPerCap,,,,,,,0.2439984,,18715000.0,,
5,Yugoslav SFR,Europe,1961,EFExportsTotGHA,,,,,,,4566503.443,,18715000.0,,
6,Yugoslav SFR,Europe,1961,EFImportsPerCap,,,,,,,0.31639819,,18715000.0,,
7,Yugoslav SFR,Europe,1961,EFImportsTotGHA,,,,,,,5921487.299,,18715000.0,,
8,Yugoslav SFR,Europe,1961,EFProdPerCap,,,,,,,2.079984437,,18715000.0,,
9,Yugoslav SFR,Europe,1961,EFProdTotGHA,,,,,,,38927534.35,,18715000.0,,
10,Yugoslav SFR,Europe,1962,BiocapPerCap,,,,,,,2.006798141,,18905000.0,,
11,Yugoslav SFR,Europe,1962,BiocapTotGHA,,,,,,,37939122.46,,18905000.0,,
12,Yugoslav SFR,Europe,1962,EFConsPerCap,,,,,,,2.150915968,,18905000.0,,
13,Yugoslav SFR,Europe,1962,EFConsTotGHA,,,,,,,40663713.33,,18905000.0,,
14,Yugoslav SFR,Europe,1962,EFExportsPerCap,,,,,,,0.241610523,,18905000.0,,
15,Yugoslav SFR,Europe,1962,EFExportsTotGHA,,,,,,,4567719.602,,18905000.0,,
16,Yugoslav SFR,Europe,1962,EFImportsPerCap,,,,,,,0.291985611,,18905000.0,,
17,Yugoslav SFR,Europe,1962,EFImportsTotGHA,,,,,,,5520075.801,,18905000.0,,
18,Yugoslav SFR,Europe,1962,EFProdPerCap,,,,,,,2.10054088,,18905000.0,,
19,Yugoslav SFR,Europe,1962,EFProdTotGHA,,,,,,,39711357.13,,18905000.0,,
20,Yugoslav SFR,Europe,1963,BiocapPerCap,,,,,,,2.061453652,,19093000.0,,
21,Yugoslav SFR,Europe,1963,BiocapTotGHA,,,,,,,39359745.26,,19093000.0,,
22,Yugoslav SFR,Europe,1963,EFConsPerCap,,,,,,,2.363537276,,19093000.0,,
23,Yugoslav SFR,Europe,1963,EFConsTotGHA,,,,,,,45127488.07,,19093000.0,,
24,Yugoslav SFR,Europe,1963,EFExportsPerCap,,,,,,,0.276235681,,19093000.0,,
25,Yugoslav SFR,Europe,1963,EFExportsTotGHA,,,,,,,5274222.893,,19093000.0,,
26,Yugoslav SFR,Europe,1963,EFImportsPerCap,,,,,,,0.386977381,,19093000.0,,
27,Yugoslav SFR,Europe,1963,EFImportsTotGHA,,,,,,,7388636.237,,19093000.0,,
28,Yugoslav SFR,Europe,1963,EFProdPerCap,,,,,,,2.252795576,,19093000.0,,
29,Yugoslav SFR,Europe,1963,EFProdTotGHA,,,,,,,43013074.72,,19093000.0,,
30,Yugoslav SFR,Europe,1964,BiocapPerCap,,,,,,,2.056041789,,19274000.0,,
31,Yugoslav SFR,Europe,1964,BiocapTotGHA,,,,,,,39628149.44,,19274000.0,,
32,Yugoslav SFR,Europe,1964,EFConsPerCap,,,,,,,2.495783461,,19274000.0,,
33,Yugoslav SFR,Europe,1964,EFConsTotGHA,,,,,,,48103730.43,,19274000.0,,
34,Yugoslav SFR,Europe,1964,EFExportsPerCap,,,,,,,0.26074019,,19274000.0,,
35,Yugoslav SFR,Europe,1964,EFExportsTotGHA,,,,,,,5025506.429,,19274000.0,,
36,Yugoslav SFR,Europe,1964,EFImportsPerCap,,,,,,,0.395219126,,19274000.0,,
37,Yugoslav SFR,Europe,1964,EFImportsTotGHA,,,,,,,7617453.426,,19274000.0,,
38,Yugoslav SFR,Europe,1964,EFProdPerCap,,,,,,,2.361304526,,19274000.0,,
39,Yugoslav SFR,Europe,1964,EFProdTotGHA,,,,,,,45511783.43,,19274000.0,,
40,Yugoslav SFR,Europe,1965,BiocapPerCap,,,,,,,1.986200424,,19444000.0,,
41,Yugoslav SFR,Europe,1965,BiocapTotGHA,,,,,,,38620278.46,,19444000.0,,
42,Yugoslav SFR,Europe,1965,EFConsPerCap,,,,,,,2.459823573,,19444000.0,,
43,Yugoslav SFR,Europe,1965,EFConsTotGHA,,,,,,,47829549.42,,19444000.0,,
44,Yugoslav SFR,Europe,1965,EFExportsPerCap,,,,,,,0.270975536,,19444000.0,,
45,Yugoslav SFR,Europe,1965,EFExportsTotGHA,,,,,,,5268929.822,,19444000.0,,
46,Yugoslav SFR,Europe,1965,EFImportsPerCap,,,,,,,0.406280792,,19444000.0,,
47,Yugoslav SFR,Europe,1965,EFImportsTotGHA,,,,,,,7899845.931,,19444000.0,,
48,Yugoslav SFR,Europe,1965,EFProdPerCap,,,,,,,2.324518316,,19444000.0,,
49,Yugoslav SFR,Europe,1965,EFProdTotGHA,,,,,,,45198633.31,,19444000.0,,
50,Yugoslav SFR,Europe,1966,BiocapPerCap,,,,,,,2.155905235,,19603000.0,,
51,Yugoslav SFR,Europe,1966,BiocapTotGHA,,,,,,,42262210.31,,19603000.0,,
52,Yugoslav SFR,Europe,1966,EFConsPerCap,,,,,,,2.62150342,,19603000.0,,
53,Yugoslav SFR,Europe,1966,EFConsTotGHA,,,,,,,51389331.55,,19603000.0,,
54,Yugoslav SFR,Europe,1966,EFExportsPerCap,,,,,,,0.314193848,,19603000.0,,
55,Yugoslav SFR,Europe,1966,EFExportsTotGHA,,,,,,,6159142.011,,19603000.0,,
56,Yugoslav SFR,Europe,1966,EFImportsPerCap,,,,,,,0.45603669,,19603000.0,,
57,Yugoslav SFR,Europe,1966,EFImportsTotGHA,,,,,,,8939687.234,,19603000.0,,
58,Yugoslav SFR,Europe,1966,EFProdPerCap,,,,,,,2.479660579,,19603000.0,,
59,Yugoslav SFR,Europe,1966,EFProdTotGHA,,,,,,,48608786.32,,19603000.0,,
60,Yugoslav SFR,Europe,1967,BiocapPerCap,,,,,,,2.09021523,,19752000.0,,
61,Yugoslav SFR,Europe,1967,BiocapTotGHA,,,,,,,41286768.12,,19752000.0,,
62,Yugoslav SFR,Europe,1967,EFConsPerCap,,,,,,,2.507233785,,19752000.0,,
63,Yugoslav SFR,Europe,1967,EFConsTotGHA,,,,,,,49523885.59,,19752000.0,,
64,Yugoslav SFR,Europe,1967,EFExportsPerCap,,,,,,,0.330263597,,19752000.0,,
65,Yugoslav SFR,Europe,1967,EFExportsTotGHA,,,,,,,6523498.803,,19752000.0,,
66,Yugoslav SFR,Europe,1967,EFImportsPerCap,,,,,,,0.436697097,,19752000.0,,
67,Yugoslav SFR,Europe,1967,EFImportsTotGHA,,,,,,,8625815.901,,19752000.0,,
68,Yugoslav SFR,Europe,1967,EFProdPerCap,,,,,,,2.400800285,,19752000.0,,
69,Yugoslav SFR,Europe,1967,EFProdTotGHA,,,,,,,47421568.5,,19752000.0,,
70,Yugoslav SFR,Europe,1968,BiocapPerCap,,,,,,,2.008479426,,19897000.0,,
71,Yugoslav SFR,Europe,1968,BiocapTotGHA,,,,,,,39963319.25,,19897000.0,,
72,Yugoslav SFR,Europe,1968,EFConsPerCap,,,,,,,2.41121632,,19897000.0,,
73,Yugoslav SFR,Europe,1968,EFConsTotGHA,,,,,,,47976696.37,,19897000.0,,
74,Yugoslav SFR,Europe,1968,EFExportsPerCap,,,,,,,0.341759782,,19897000.0,,
75,Yugoslav SFR,Europe,1968,EFExportsTotGHA,,,,,,,6800097.183,,19897000.0,,
76,Yugoslav SFR,Europe,1968,EFImportsPerCap,,,,,,,0.393285455,,19897000.0,,
77,Yugoslav SFR,Europe,1968,EFImportsTotGHA,,,,,,,7825318.985,,19897000.0,,
78,Yugoslav SFR,Europe,1968,EFProdPerCap,,,,,,,2.359690648,,19897000.0,,
79,Yugoslav SFR,Europe,1968,EFProdTotGHA,,,,,,,46951474.57,,19897000.0,,
80,Yugoslav SFR,Europe,1969,BiocapPerCap,,,,,,,2.097095168,,20044000.0,,
81,Yugoslav SFR,Europe,1969,BiocapTotGHA,,,,,,,42035015.21,,20044000.0,,
82,Yugoslav SFR,Europe,1969,EFConsPerCap,,,,,,,2.550934765,,20044000.0,,
83,Yugoslav SFR,Europe,1969,EFConsTotGHA,,,,,,,51131957.8,,20044000.0,,
84,Yugoslav SFR,Europe,1969,EFExportsPerCap,,,,,,,0.378209992,,20044000.0,,
85,Yugoslav SFR,Europe,1969,EFExportsTotGHA,,,,,,,7580992.515,,20044000.0,,
86,Yugoslav SFR,Europe,1969,EFImportsPerCap,,,,,,,0.444627145,,20044000.0,,
87,Yugoslav SFR,Europe,1969,EFImportsTotGHA,,,,,,,8912284.528,,20044000.0,,
88,Yugoslav SFR,Europe,1969,EFProdPerCap,,,,,,,2.484517612,,20044000.0,,
89,Yugoslav SFR,Europe,1969,EFProdTotGHA,,,,,,,49800665.79,,20044000.0,,
90,Yugoslav SFR,Europe,1970,BiocapPerCap,,,,,,,1.97143255,,20199000.0,,
91,Yugoslav SFR,Europe,1970,BiocapTotGHA,,,,,,,39820176.73,,20199000.0,,
92,Yugoslav SFR,Europe,1970,EFConsPerCap,,,,,,,2.856727426,,20199000.0,,
93,Yugoslav SFR,Europe,1970,EFConsTotGHA,,,,,,,57701893.48,,20199000.0,,
