,country,UNRegion,year,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total,GDP,population,Unnamed: 14,countryCode
0,Antigua and Barbuda,LatinAmerica,1980,BiocapPerCap,,,,,,,1.248545998,5363.42,70000.0,,8.0
1,Antigua and Barbuda,LatinAmerica,1980,BiocapTotGHA,,,,,,,87774.03534,5363.42,70000.0,,8.0
2,Antigua and Barbuda,LatinAmerica,1980,EFConsPerCap,,,,,,,1.941572089,5363.42,70000.0,,8.0
3,Antigua and Barbuda,LatinAmerica,1980,EFConsTotGHA,,,,,,,136494.4643,5363.42,70000.0,,8.0
4,Antigua and Barbuda,LatinAmerica,1980,EFExportsPerCap,,,,,,,0.113639514,5363.42,70000.0,,8.0
5,Antigua and Barbuda,LatinAmerica,1980,EFExportsTotGHA,,,,,,,7988.971762,5363.42,70000.0,,8.0
6,Antigua and Barbuda,LatinAmerica,1980,EFImportsPerCap,,,,,,,1.255331115,5363.42,70000.0,,8.0
7,Antigua and Barbuda,LatinAmerica,1980,EFImportsTotGHA,,,,,,,88251.03587,5363.42,70000.0,,8.0
8,Antigua and Barbuda,LatinAmerica,1980,EFProdPerCap,,,,,,,0.799880488,5363.42,70000.0,,8.0
9,Antigua and Barbuda,LatinAmerica,1980,EFProdTotGHA,,,,,,,56232.40015,5363.42,70000.0,,8.0
10,Antigua and Barbuda,LatinAmerica,1981,BiocapPerCap,,,,,,,1.263914722,5596.69,70000.0,,8.0
11,Antigua and Barbuda,LatinAmerica,1981,BiocapTotGHA,,,,,,,88158.05184,5596.69,70000.0,,8.0
12,Antigua and Barbuda,LatinAmerica,1981,EFConsPerCap,,,,,,,1.838249232,5596.69,70000.0,,8.0
13,Antigua and Barbuda,LatinAmerica,1981,EFConsTotGHA,,,,,,,128217.8839,5596.69,70000.0,,8.0
14,Antigua and Barbuda,LatinAmerica,1981,EFExportsPerCap,,,,,,,0.047378217,5596.69,70000.0,,8.0
15,Antigua and Barbuda,LatinAmerica,1981,EFExportsTotGHA,,,,,,,3304.630609,5596.69,70000.0,,8.0
16,Antigua and Barbuda,LatinAmerica,1981,EFImportsPerCap,,,,,,,1.273364798,5596.69,70000.0,,8.0
17,Antigua and Barbuda,LatinAmerica,1981,EFImportsTotGHA,,,,,,,88817.19468,5596.69,70000.0,,8.0
18,Antigua and Barbuda,LatinAmerica,1981,EFProdPerCap,,,,,,,0.61226265,5596.69,70000.0,,8.0
19,Antigua and Barbuda,LatinAmerica,1981,EFProdTotGHA,,,,,,,42705.31984,5596.69,70000.0,,8.0
20,Antigua and Barbuda,LatinAmerica,1982,BiocapPerCap,,,,,,,1.274179076,5639.69,69000.0,,8.0
21,Antigua and Barbuda,LatinAmerica,1982,BiocapTotGHA,,,,,,,87854.64343,5639.69,69000.0,,8.0
22,Antigua and Barbuda,LatinAmerica,1982,EFConsPerCap,,,,,,,2.836480026,5639.69,69000.0,,8.0
23,Antigua and Barbuda,LatinAmerica,1982,EFConsTotGHA,,,,,,,195575.2892,5639.69,69000.0,,8.0
24,Antigua and Barbuda,LatinAmerica,1982,EFExportsPerCap,,,,,,,0.047870583,5639.69,69000.0,,8.0
25,Antigua and Barbuda,LatinAmerica,1982,EFExportsTotGHA,,,,,,,3300.676552,5639.69,69000.0,,8.0
26,Antigua and Barbuda,LatinAmerica,1982,EFImportsPerCap,,,,,,,1.359345251,5639.69,69000.0,,8.0
27,Antigua and Barbuda,LatinAmerica,1982,EFImportsTotGHA,,,,,,,93726.85091,5639.69,69000.0,,8.0
28,Antigua and Barbuda,LatinAmerica,1982,EFProdPerCap,,,,,,,1.525005358,5639.69,69000.0,,8.0
29,Antigua and Barbuda,LatinAmerica,1982,EFProdTotGHA,,,,,,,105149.1148,5639.69,69000.0,,8.0
30,Antigua and Barbuda,LatinAmerica,1983,BiocapPerCap,,,,,,,1.287040013,6009.3,68000.0,,8.0
31,Antigua and Barbuda,LatinAmerica,1983,BiocapTotGHA,,,,,,,87464.66542,6009.3,68000.0,,8.0
32,Antigua and Barbuda,LatinAmerica,1983,EFConsPerCap,,,,,,,1.904553188,6009.3,68000.0,,8.0
33,Antigua and Barbuda,LatinAmerica,1983,EFConsTotGHA,,,,,,,129429.6259,6009.3,68000.0,,8.0
34,Antigua and Barbuda,LatinAmerica,1983,EFExportsPerCap,,,,,,,0.045739374,6009.3,68000.0,,8.0
35,Antigua and Barbuda,LatinAmerica,1983,EFExportsTotGHA,,,,,,,3108.35642,6009.3,68000.0,,8.0
36,Antigua and Barbuda,LatinAmerica,1983,EFImportsPerCap,,,,,,,1.448149695,6009.3,68000.0,,8.0
37,Antigua and Barbuda,LatinAmerica,1983,EFImportsTotGHA,,,,,,,98413.35721,6009.3,68000.0,,8.0
38,Antigua and Barbuda,LatinAmerica,1983,EFProdPerCap,,,,,,,0.502142868,6009.3,68000.0,,8.0
39,Antigua and Barbuda,LatinAmerica,1983,EFProdTotGHA,,,,,,,34124.62511,6009.3,68000.0,,8.0
40,Antigua and Barbuda,LatinAmerica,1984,BiocapPerCap,,,,,,,1.281271113,6705.7,67000.0,,8.0
41,Antigua and Barbuda,LatinAmerica,1984,BiocapTotGHA,,,,,,,85669.62908,6705.7,67000.0,,8.0
42,Antigua and Barbuda,LatinAmerica,1984,EFConsPerCap,,,,,,,2.534349215,6705.7,67000.0,,8.0
43,Antigua and Barbuda,LatinAmerica,1984,EFConsTotGHA,,,,,,,169454.1889,6705.7,67000.0,,8.0
44,Antigua and Barbuda,LatinAmerica,1984,EFExportsPerCap,,,,,,,0.04076529,6705.7,67000.0,,8.0
45,Antigua and Barbuda,LatinAmerica,1984,EFExportsTotGHA,,,,,,,2725.689544,6705.7,67000.0,,8.0
46,Antigua and Barbuda,LatinAmerica,1984,EFImportsPerCap,,,,,,,1.73294175,6705.7,67000.0,,8.0
47,Antigua and Barbuda,LatinAmerica,1984,EFImportsTotGHA,,,,,,,115869.6824,6705.7,67000.0,,8.0
48,Antigua and Barbuda,LatinAmerica,1984,EFProdPerCap,,,,,,,0.842172755,6705.7,67000.0,,8.0
49,Antigua and Barbuda,LatinAmerica,1984,EFProdTotGHA,,,,,,,56310.19607,6705.7,67000.0,,8.0
50,Antigua and Barbuda,LatinAmerica,1985,BiocapPerCap,,,,,,,1.306451995,7315.82,66000.0,,8.0
51,Antigua and Barbuda,LatinAmerica,1985,BiocapTotGHA,,,,,,,85891.38423,7315.82,66000.0,,8.0
52,Antigua and Barbuda,LatinAmerica,1985,EFConsPerCap,,,,,,,3.089105929,7315.82,66000.0,,8.0
53,Antigua and Barbuda,LatinAmerica,1985,EFConsTotGHA,,,,,,,203090.1904,7315.82,66000.0,,8.0
54,Antigua and Barbuda,LatinAmerica,1985,EFExportsPerCap,,,,,,,0.061113982,7315.82,66000.0,,8.0
55,Antigua and Barbuda,LatinAmerica,1985,EFExportsTotGHA,,,,,,,4017.877846,7315.82,66000.0,,8.0
56,Antigua and Barbuda,LatinAmerica,1985,EFImportsPerCap,,,,,,,1.735582702,7315.82,66000.0,,8.0
57,Antigua and Barbuda,LatinAmerica,1985,EFImportsTotGHA,,,,,,,114104.1549,7315.82,66000.0,,8.0
58,Antigua and Barbuda,LatinAmerica,1985,EFProdPerCap,,,,,,,1.414637209,7315.82,66000.0,,8.0
59,Antigua and Barbuda,LatinAmerica,1985,EFProdTotGHA,,,,,,,93003.91332,7315.82,66000.0,,8.0
60,Antigua and Barbuda,LatinAmerica,1986,BiocapPerCap,,,,,,,1.321488016,8272.02,65000.0,,8.0
61,Antigua and Barbuda,LatinAmerica,1986,BiocapTotGHA,,,,,,,85374.7377,8272.02,65000.0,,8.0
62,Antigua and Barbuda,LatinAmerica,1986,EFConsPerCap,,,,,,,3.28455518,8272.02,65000.0,,8.0
63,Antigua and Barbuda,LatinAmerica,1986,EFConsTotGHA,,,,,,,212198.6984,8272.02,65000.0,,8.0
64,Antigua and Barbuda,LatinAmerica,1986,EFExportsPerCap,,,,,,,0.060204083,8272.02,65000.0,,8.0
65,Antigua and Barbuda,LatinAmerica,1986,EFExportsTotGHA,,,,,,,3889.485015,8272.02,65000.0,,8.0
66,Antigua and Barbuda,LatinAmerica,1986,EFImportsPerCap,,,,,,,1.903212745,8272.02,65000.0,,8.0
67,Antigua and Barbuda,LatinAmerica,1986,EFImportsTotGHA,,,,,,,122957.0658,8272.02,65000.0,,8.0
68,Antigua and Barbuda,LatinAmerica,1986,EFProdPerCap,,,,,,,1.441546519,8272.02,65000.0,,8.0
69,Antigua and Barbuda,LatinAmerica,1986,EFProdTotGHA,,,,,,,93131.11767,8272.02,65000.0,,8.0
70,Antigua and Barbuda,LatinAmerica,1987,BiocapPerCap,,,,,,,1.346887435,8945.48,63000.0,,8.0
71,Antigua and Barbuda,LatinAmerica,1987,BiocapTotGHA,,,,,,,85505.80352,8945.48,63000.0,,8.0
72,Antigua and Barbuda,LatinAmerica,1987,EFConsPerCap,,,,,,,3.636115027,8945.48,63000.0,,8.0
73,Antigua and Barbuda,LatinAmerica,1987,EFConsTotGHA,,,,,,,230835.1306,8945.48,63000.0,,8.0
74,Antigua and Barbuda,LatinAmerica,1987,EFExportsPerCap,,,,,,,0.053400987,8945.48,63000.0,,8.0
75,Antigua and Barbuda,LatinAmerica,1987,EFExportsTotGHA,,,,,,,3390.108349,8945.48,63000.0,,8.0
76,Antigua and Barbuda,LatinAmerica,1987,EFImportsPerCap,,,,,,,2.091539073,8945.48,63000.0,,8.0
77,Antigua and Barbuda,LatinAmerica,1987,EFImportsTotGHA,,,,,,,132779.2689,8945.48,63000.0,,8.0
78,Antigua and Barbuda,LatinAmerica,1987,EFProdPerCap,,,,,,,1.597976941,8945.48,63000.0,,8.0
79,Antigua and Barbuda,LatinAmerica,1987,EFProdTotGHA,,,,,,,101445.97,8945.48,63000.0,,8.0
